package	version	date	location	dependencies
rmarkdown	2.30		CRAN	bslib,evaluate,fontawesome,htmltools,jquerylib,jsonlite,knitr,methods,tinytex,tools,utils,xfun,yaml
rpart	4.1.24		CRAN	graphics,stats,grDevices
rsqlite	NA		NOT-FOUND	
rstudioapi	0.18.0		CRAN	
rsvg	2.7.0		CRAN	
rvest	1.0.5		CRAN	cli,glue,httr,lifecycle,magrittr,rlang,selectr,tibble,xml2
s7	NA		NOT-FOUND	
sass	0.4.10		CRAN	fs,rlang,htmltools,R6,rappdirs
scales	1.4.0		CRAN	cli,farver,glue,labeling,lifecycle,R6,RColorBrewer,rlang,viridisLite
selectr	0.5-1		CRAN	methods,stringr,R6
shape	1.4.6.1		CRAN	stats,graphics,grDevices
shiny	1.12.1		CRAN	methods,bslib,cachem,cli,commonmark,fastmap,fontawesome,glue,grDevices,htmltools,httpuv,jsonlite,later,lifecycle,mime,otel,promises,R6,rlang,sourcetools,tools,utils,withr,xtable
sourcetools	0.1.7-1		CRAN	
sparsevctrs	0.3.5		CRAN	cli,rlang,vctrs
spatial	7.3-18		CRAN	graphics,stats,utils
squarem	NA		NOT-FOUND	
stringi	1.8.7		CRAN	tools,utils,stats
stringr	1.6.0		CRAN	cli,glue,lifecycle,magrittr,rlang,stringi,vctrs
survival	3.8-6		CRAN	graphics,Matrix,methods,splines,stats,utils
sys	3.4.3		CRAN	
textshaping	1.0.4		CRAN	lifecycle,stats,stringi,systemfonts,utils,cpp11
tibble	3.3.1		CRAN	cli,lifecycle,magrittr,methods,pillar,pkgconfig,rlang,utils,vctrs
tidyr	1.3.2		CRAN	cli,dplyr,glue,lifecycle,magrittr,purrr,rlang,stringr,tibble,tidyselect,utils,vctrs,cpp11
tidyselect	1.2.1		CRAN	cli,glue,lifecycle,rlang,vctrs,withr
tidyverse	2.0.0		CRAN	broom,conflicted,cli,dbplyr,dplyr,dtplyr,forcats,ggplot2,googledrive,googlesheets4,haven,hms,httr,jsonlite,lubridate,magrittr,modelr,pillar,purrr,ragg,readr,readxl,reprex,rlang,rstudioapi,rvest,stringr,tibble,tidyr,xml2
timechange	0.3.0		CRAN	cpp11
timedate	NA		NOT-FOUND	
tinytex	0.58		CRAN	xfun
triebeard	0.4.1		CRAN	Rcpp
ttr	NA		NOT-FOUND	
tzdb	0.5.0		CRAN	cpp11
urltools	1.7.3.1		CRAN	Rcpp,methods,triebeard
utf8	1.2.6		CRAN	
uuid	1.2-2		CRAN	
vctrs	0.7.1		CRAN	cli,glue,lifecycle,rlang
viridislite	NA		NOT-FOUND	
vroom	1.6.7		CRAN	bit64,cli,crayon,glue,hms,lifecycle,methods,rlang,stats,tibble,tidyselect,tzdb,vctrs,withr,cpp11,progress
withr	3.0.2		CRAN	graphics,grDevices
xfun	0.56		CRAN	grDevices,stats,tools
xml2	1.5.2		CRAN	cli,methods,rlang
xtable	1.8-4		CRAN	stats,utils
xts	0.14.1		CRAN	zoo,methods
zoo	1.8-15		CRAN	stats,utils,graphics,grDevices,lattice
